"denominazione","tipologia","categoria","totale_unita","totale_bagni","totale_letti","indirizzo","frazione","cap","codice_istat_comune","comune","provincia","latitudine","longitudine","telefono","fax","sitoweb","email","periodi","servizi_generali","servizi_camera","prezzo_alta_stagione_o_unica","prezzo_bassa_stagione","foto1","foto2","foto3","foto4","foto5"
"CASAKARINA ","Bed & breakfast","","5","5","10","VIA LIBERO GRASSI","","73040","075077","Specchia","LE","","","0833-535251","","www.casakarina.it","info@casakarina.it","","Bagno privato-Sala lettura-Parco / Giardino","Aria condizionata indipendente-Riscaldamento indipendente-Insonorizzazione-Riscaldamento","","","","","","",""
"IL PORTOLANO ","Bed & breakfast","","2","2","5","VIA ARADEO","","73017","075070","Sannicola","LE","","","3393981873","","www.ilportolano.com","ilportolano@email.it","01/06/2015-30/09/2015","Deposito bagagli-Bagno privato-Sala lettura-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Riscaldamento indipendente-Riscaldamento","camera-doppia-bagno-persona (30-45)#camera-tripla-bagno-persona (30-45)","camera-doppia-bagno-persona (0-0)#camera-tripla-bagno-persona (0-0)","","","","",""
"AIRA TE FINU","Bed & breakfast","","5","5","10","VIA VANZE - 3A TRAV. SX.","Acquarica di Lecce","73029","075093","Vernole","LE","","","0832-891177","0832891177","www.airatefinu.it","info@airatefinu.it","01/01/2015-07/01/2015#07/03/2015-18/10/2015#30/10/2015-08/11/2015#05/12/2015-13/12/2015#19/12/2015-31/12/2015","Reception 24h-Deposito bagagli-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino","Aria condizionata indipendente-Rscaldamento centralizzato-Tv-Tv satellitare-Insonorizzazione-Frigobar-Riscaldamento-Angolo cottura","camera-doppia-bagno (70-90)#camera-doppia-bagno-persona (40-55)#camera-doppia-persona (40-45)#camera-quadrupla-bagno (90-120)#camera-quadrupla-persona (30-30)#camera-singola-bagno (45-55)#camera-singola-persona (45-55)#camera-tripla-bagno (85-100)#camera-tripla-bagno-persona (30-40)#doppia-uso-singola (10-20)","camera-doppia-bagno (50-60)#camera-doppia-bagno-persona (25-35)#camera-doppia-persona (25-35)#camera-quadrupla-bagno (90-100)#camera-quadrupla-persona (25-30)#camera-singola-bagno (35-45)#camera-singola-persona (35-40)#camera-tripla-bagno (75-85)#camera-tripla-bagno-persona (25-30)#doppia-uso-singola (-)","","","","",""
"OASI DEL SALENTO","Bed & breakfast","","4","4","8","VIA ESTERNA MONTERONI","","73043","075022","Copertino","LE","","","0832-935102  /0832-359804","","www.oasidelsalento.it","info@oasidelsalento.it","","","","","","","","","",""
"HOTEL RESIDENCE JULIA","Residenze turistico alberghiere","3 stelle","151","151","488","VIA S. LUCIA","","71010","071038","Peschici","FG","","","0884/911028","0884911024","www.residencejulia.com","info@residencejulia.com","01/06/2015-20/09/2015","Bar-Punto ristoro-Reception 24h-Camere fumatori-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Tv-Frigobar-Telefono-Angolo cottura","camera-doppia-bagno (100-140)#camera-tripla-bagno (130-182)#pasto-cena (15-20)#pasto-colazione (5-10)#pasto-pranzo (20-30)#supplemento-servizio-incamera (5-10)#supplemento-tessera-club (35-50)#ua-monolocale (130-165)","camera-doppia-bagno (50-100)#camera-tripla-bagno (65-130)#pasto-cena (-)#pasto-colazione (-)#pasto-pranzo (-)#supplemento-servizio-incamera (-)#supplemento-tessera-club (-)#ua-monolocale (70-130)","","","","",""
"DIPENDENZA HOTEL TRAMONTANA","Alberghi","2 stelle","10","14","25","VIA B. G. DA FOLIGNO","SAN DOMINO","71040","071026","Isole Tremiti","FG","42.1152124","15.490645699999959","0882463455","0882463963","www.tramontanatremiti.com","info@tramontanatremiti.com","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Deposito bagagli-Cassaforte / cassette di sicurezza-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-idromassaggio-Riscaldamento-Telefono","camera-doppia-bagno (100-240)#camera-singola-bagno (40-130)#doppia-uso-singola-bagno (65-130)#mezza-pensione-bagno (65-140)#pasto-cena (20-45)#pasto-pranzo (20-35)#pensione-completa-bagno (65-155)#supplemento-servizio-incamera (5-10)#supplemento-vista-panoramica (5-10)","camera-doppia-bagno (70-200)#camera-singola-bagno (30-110)#doppia-uso-singola-bagno (50-110)#mezza-pensione-bagno (50-100)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (60-125)#supplemento-servizio-incamera (-)#supplemento-vista-panoramica (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/966498/fileFoto1","","","",""
"POZZO DOLCE ","Bed & breakfast","","2","3","5","VIA DEI MILLE","","73020","075026","Cutrofiano","LE","","","","","www.bbpozzodolce.it","bandbpozzodolce@hotmail.it","15/06/2015-30/09/2015","Cucina in uso comune-Bagno privato-Sala Tv","Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento","camera-doppia-bagno (25-30)#camera-tripla (20-25)","camera-doppia-bagno (15-25)#camera-tripla (15-20)","","","","",""
"CASE VACANZE PORTICELLO","Case e appartamenti","","3","3","12","LOCALIT¿ PALUDE MEZZANE","","71019","071060","Vieste","FG","","","0884-702163","0884702163","www.casevacanzeporticello.com","info@casevacanzeporticello.com","15/04/2015-15/10/2015","Cassaforte / cassette di sicurezza-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv satellitare-Frigobar-Riscaldamento-Angolo cottura","lenzuola (-8)#supplemento-pulizia-bilocale (35-35)#supplemento-pulizia-plurilocale (35-35)#ua-bilocale-sett (400-1000)#ua-plurilocale-sett (400-1250)","lenzuola (-)#supplemento-pulizia-bilocale (-)#supplemento-pulizia-plurilocale (-)#ua-bilocale-sett (100-800)#ua-plurilocale-sett (150-900)","","","","",""
"IL GIARDINO DEI PINI","Alberghi","4 stelle","40","22","72","STRADA PROV.LE   266 ","","73040","075004","Alliste","LE","","","0833-931209","0833935749","www.giardinodeipini.it","info@giardinodeipini.it","01/04/2015-30/09/2015","Reception 24h-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili-Ristorante-Bar-Punto ristoro","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-idromassaggio-Riscaldamento-Telefono","camera-doppia-bagno (260-290)#camera-quadrupla-bagno (330-440)#camera-tripla-bagno (270-360)#doppia-uso-singola (130-180)#jr-suite-bagno (400-500)#mezza-pensione-bagno (80-160)#pasto-cena (25-50)#pasto-pranzo (25-50)#pensione-completa-bagno (105-185)#suite-bagno (330-440)#supplemento-servizio-incamera (5-15)#supplemento-tessera-club (15-20)#ua-bilocale (80-500)","camera-doppia-bagno (130-210)#camera-quadrupla-bagno (220-330)#camera-tripla-bagno (180-270)#doppia-uso-singola (80-130)#jr-suite-bagno (280-400)#mezza-pensione-bagno (80-105)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (105-105)#suite-bagno (220-330)#supplemento-servizio-incamera (-)#supplemento-tessera-club (-)#ua-bilocale (80-200)","http://www.agenziapugliapromozione.it/portal/documents/ddl/865728/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/865728/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/865728/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/865728/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/865728/fileFoto5"
"PALAZZO PAPALEO","Alberghi","5 stelle","9","9","21","VIA RONDACHI","","73028","075057","Otranto","LE","40.1455879","18.491649999999936","0836-802108","","www.hotelpalazzopapaleo.com","info@hotelpalazzopapaleo.com","","Bar-Reception 24h-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (90-1690)#servizio-colazione (-)","camera-doppia-bagno (-)#servizio-colazione (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/365353/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/365353/fileFoto2","","",""
"RE.TRA.OS DI DE SIMONE A. E RUSSO F.& C  SNC","Case e appartamenti","","7","10","28","VIA G.B. D'AVANZO ","","71039","071044","Roseto Valfortore","FG","","","","","www.roseto.co.uk","russo.cecco@tiscali.it","","","","ua-bilocale-sett (700-875)","ua-bilocale-sett (315-595)","","","","",""
"L'ARANCETO ","Bed & breakfast","","4","2","10","VIA TRIPOLI ","","72025","074013","San Donaci","BR","","","3394874093","","","francescodefilippis@hotmail.com","01/01/2015-14/01/2015#01/03/2015-25/10/2015#15/12/2015-31/12/2015","Cassaforte / cassette di sicurezza-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Accesso animali piccola taglia","Frigobar-Riscaldamento-Aria condizionata indipendente-Rscaldamento centralizzato-Cassafforte / cassetta di sicurezza-Tv","camera-doppia (40-70)#camera-quadrupla (60-100)#doppia-uso-singola (20-35)","camera-doppia (40-70)#camera-quadrupla (60-100)#doppia-uso-singola (-)","","","","",""
"MELELEO ORONZO","Affittacamere","","3","3","8","VIA GORIZIA","","73020","075026","Cutrofiano","LE","","","3335407008","","www.otiumsalento.it","info@otiumsalento.it","01/01/2015-31/12/2015","Bagno privato-Sala Tv-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Tv-Riscaldamento","camera-doppia-bagno (40-65)#camera-quadrupla-bagno (66-108)","camera-doppia-bagno (0-0)#camera-quadrupla-bagno (0-0)","","","","",""
"CERRA RESIDENCE","Case e appartamenti","","10","10","24","CONTRADA CERRA","","73028","075057","Otranto","LE","","","3392204247","","www.casavacanzecerra.it","info@casavacanzecerra.it","01/01/2015-31/12/2015","Reception 24h-Bagno privato-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento-Angolo cottura","ua-bilocale-sett (400-550)#ua-monolocale-sett (300-400)#ua-plurilocale-sett (550-650)","ua-bilocale-sett (300-400)#ua-monolocale-sett (200-300)#ua-plurilocale-sett (350-550)","http://www.agenziapugliapromozione.it/portal/documents/ddl/958111/fileFoto1","","","",""
"CASA VACANZA AGROSI'","Case e appartamenti","","2","3","6","VIA TRIESTE","","73040","075081","Supersano","LE","","","3288912212","","www.lascisa.com","info@lascisa.com","01/04/2015-30/09/2015","Cucina in uso comune-Bagno privato","Aria condizionata indipendente-Riscaldamento indipendente-Riscaldamento-Angolo cottura","biancheria (-20)#supplemento-pulizia-monolocale (20-30)#supplemento-pulizia-plurilocale (20-30)#ua-monolocale-sett (250-650)#ua-plurilocale-sett (450-750)","biancheria (-)#supplemento-pulizia-monolocale (-)#supplemento-pulizia-plurilocale (-)#ua-monolocale-sett (250-650)#ua-plurilocale-sett (450-750)","http://www.agenziapugliapromozione.it/portal/documents/ddl/955981/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/955981/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/955981/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/955981/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/955981/fileFoto5"
"HOLIDY'S HOUSE DI OLIVIERI I EC.","Case e appartamenti","","5","5","20","VIA RUVO","","70033","072020","Corato","BA","41.149113","16.422011999999995","0808985410 - 3289184846","","","rjnozitoli79@libero.it","01/01/2015-31/12/2015","Nessuno","Aria condizionata indipendente-Riscaldamento indipendente-Riscaldamento-Angolo cottura","supplemento-pulizia-bilocale (20-30)#ua-bilocale-mese (600-900)#ua-bilocale-sett (200-300)","supplemento-pulizia-bilocale (-)#ua-bilocale-mese (350-380)#ua-bilocale-sett (175-210)","","","","",""
"MEZZALUNA ","Bed & breakfast","","5","4","10","C.DA CARISCIOLA","","72012","074002","Carovigno","BR","","","0831 990924","","","grecomp@libero.it","","","","","","","","","",""
"NETTUNO HOTEL","Alberghi","4 stelle","70","70","135","VIA ANGELO TITI ","","72100","074001","Brindisi","BR","40.6345823","17.9538407","0831 550194","0831550198","www.nettunohotel.it","info@nettunohotel.it","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Ascensore-Parcheggio Coperto / Scoperto-Quotidiani-Camere / struttura per ospiti disabili","Aria condizionata centralizzata-Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Tv satellitare-Frigobar-idromassaggio-Riscaldamento-Telefono","camera-doppia-bagno (300-300)#camera-singola-bagno (250-250)#doppia-uso-singola-bagno (250-250)#mezza-pensione-bagno (25-25)#pasto-cena (25-25)#pasto-pranzo (25-25)#pensione-completa-bagno (50-50)#supplemento-servizio-incamera (5-5)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#doppia-uso-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)#supplemento-servizio-incamera (-)","","","","",""
"DIMORA CELESTE ","Bed & breakfast","","1","1","4","C.DA FOLLIFUOCO","","72017","074012","Ostuni","BR","","","0831 303332","","","info@dimoraceleste.it","","","","","","","","","",""
"DEI COLLI","Bed & breakfast","","5","5","10","C.DA BAGNARDI","","72017","074012","Ostuni","BR","","","0831 308725  /   0831 301121","","","info@bebdeicolli.it","","Sala lettura-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Bagno privato-Sala Tv","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento","","","","","","",""
"MASSERIA TROTTA ","Bed & breakfast","","2","2","6","C:DA GIARDINELLI ","","72015","074007","Fasano","BR","","","3334126460","","www.masseriatrotta.it","info@masseriatrotta.it","","Bagno privato-Sala lettura-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Accesso animali piccola taglia","Rscaldamento centralizzato-Tv satellitare-Frigobar-Riscaldamento-Angolo cottura","","","","","","",""
"CAMPING ATLANTIDE","Campeggi","3 stelle","40","23","96","C.DA LAMANDIA","","70043","072030","Monopoli","BA","","","080 801212","0804120238","www.campeggioatlantide.it","info@residenceatlantide.it","01/04/2015-31/10/2015","Ristorante-Bar-Punto ristoro-Reception 24h-Camere fumatori-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Insonorizzazione-Frigobar-Angolo cottura","adulti (10-12)#piazzola-prezzo (15-21)#ragazzi (6-8)#supplemento-accesso-visitatori (6-15)#supplemento-animali-domestici (2-5)#supplemento-seconda-auto (3-6)#supplemento-seconda-moto (2-5)","adulti (5-7)#piazzola-prezzo (10-12)#ragazzi (3-5)#supplemento-accesso-visitatori (-)#supplemento-animali-domestici (-)#supplemento-seconda-auto (-)#supplemento-seconda-moto (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/919852/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/919852/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/919852/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/919852/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/919852/fileFoto5"
"TORRE ABBONDANZA","Alloggi agrituristici","","1","1","1","ZONA E","","70015","072031","Noci","BA","","","","","","","","","","pasto-cena (40-40)#pasto-pranzo (30-30)#servizio-colazione (-)","pasto-cena (-)#pasto-pranzo (-)#servizio-colazione (-)","","","","",""
"LAMA DI BATTAGLIA","Alloggi agrituristici","","1","1","1","C.DA LAMA DI BATTAGLIA","","70027","072033","Palo del Colle","BA","","","","","","","","","","pasto-cena (15-15)#pasto-pranzo (15-15)","pasto-cena (-)#pasto-pranzo (-)","","","","",""
"AZIENDA AGRICOLA   ADDARIO CHIECO BALSAMO DEI GERMANI ","Alloggi agrituristici","","6","3","9","C.DA BAGNOLI","","76123","110001","Andria","BT","","","3476283544","","www.addario.it","info@addario.it","01/01/2015-31/12/2015","Ristorante-Punto ristoro-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento","camera-tripla-bagno (105-105)#mezza-pensione-bagno (70-70)#pasto-cena (-27)#pasto-degustazione (-15)#pasto-pranzo (-27)#pensione-completa-bagno (95-95)","camera-tripla-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-degustazione (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"PINO GRANDE","Alloggi agrituristici","","5","5","7","S.P.234","","76123","110001","Andria","BT","","","0883 569864","0883569864","www.ilpinogrande.it","reception@ilpinogrande.it","01/01/2015-31/12/2015","Ristorante-Deposito bagagli-Parcheggio Coperto / Scoperto-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Frigobar-Riscaldamento","camera-doppia-bagno (100-160)#camera-singola (50-60)#camera-singola-bagno (85-95)#mezza-pensione (70-80)#mezza-pensione-bagno (70-115)#pasto-cena (-40)#pasto-pranzo (-40)#pensione-completa (90-100)#pensione-completa-bagno (90-135)","camera-doppia-bagno (90-130)#camera-singola (40-50)#camera-singola-bagno (75-85)#mezza-pensione (60-70)#mezza-pensione-bagno (65-105)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa (80-90)#pensione-completa-bagno (85-125)","","","","",""
"TRULLI DAL CONTE","Bed & breakfast","","2","2","6","ZONA A CERROSA DI CAROLI","","74015","073013","Martina Franca","TA","","","3465377128","","www.trullidalconte.it","info@trullidalconte.it","","Reception 24h-Camere fumatori-Bagno privato-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento-Angolo cottura","","","","","","",""
"IL GIRASOLE","Bed & breakfast","","3","3","6","VIA DEI PITTOSPORI","","74024","073012","Manduria","TA","","","320.9105159 - 338.6619086","","www.bbilgirasole.net","info@bbilgirasole.net","","","","camera-doppia-bagno (45-100)","camera-doppia-bagno (-)","","","","",""
"LA CORTE DI OPAKA","Alberghi","4 stelle","14","14","24","C.DA MURGETTA","","76012","110004","Canosa di Puglia","BT","","","0883 615544","0883615544","www.lacortediopaka.com","info@lacortediopaka.com","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Reception 24h-Ascensore-Deposito bagagli-Parcheggio Coperto / Scoperto-Camere / struttura per ospiti disabili","Aria condizionata centralizzata-Rscaldamento centralizzato-Tv-Insonorizzazione-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (65-85)#camera-singola-bagno (45-65)#mezza-pensione-bagno (60-85)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#mezza-pensione-bagno (0-0)","","","","",""
"CRISTINA","Bed & breakfast","","6","6","18","VIA DEI GIRASOLI","","74020","073028","Torricella","TA","40.310379267631525","17.495604157447815","3357875758","0999570905","www.bbcristina.net","info@bbcristina.net","01/01/2015-31/12/2015","Bagno privato-Somministrazione bevande-Somministrazione alimenti","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento","camera-doppia-bagno (125-150)#camera-quadrupla-bagno (135-160)#camera-tripla-bagno (80-110)#doppia-uso-singola (30-110)","camera-doppia-bagno (50-70)#camera-quadrupla-bagno (60-90)#camera-tripla-bagno (40-70)#doppia-uso-singola (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/682882/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/682882/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/682882/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/682882/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/682882/fileFoto5"
"SOLINIO","Alloggi agrituristici","","5","5","19","C.DA TAVERNA NUOVA","","70020","072016","Cassano delle Murge","BA","","","080 763006","","","dipalolucia@gmail.com","","","","camera-doppia-bagno (35-40)#camera-singola-bagno (35-35)#mezza-pensione-bagno (50-58)#pasto-cena (25-25)#pasto-pranzo (28-28)#pensione-completa-bagno (60-68)#servizio-colazione (-)","camera-doppia-bagno (30-35)#camera-singola-bagno (30-35)#mezza-pensione-bagno (40-48)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (50-58)#servizio-colazione (-)","","","","",""
"SANTA ROSA RELAIS","Alberghi","4 stelle","9","12","17","VIA SANTA ROSA","","70015","072031","Noci","BA","","","080 4949220","0804978035","www.santarosarelais.it","info@santarosarelais.it","01/01/2015-30/06/2015","Ristorante-Bar-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata centralizzata-Rscaldamento centralizzato-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Insonorizzazione-Frigobar-idromassaggio-Riscaldamento-Telefono","camera-doppia-bagno (120-212)#camera-singola-bagno (90-174)#suite-bagno (212-308)#supplemento-servizio-incamera (5-15)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#suite-bagno (0-0)#supplemento-servizio-incamera (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/878007/fileFoto1","","","",""
"MASSERIA TORRICELLA","Alloggi agrituristici","","19","25","40","S.P. CANALE DI PIRRO","","70013","072017","Castellana Grotte","BA","40.8298905759224","17.238239164550805","080 9309994","0804321950","www.masseriatorricella.it","masseriatorricella@libero.it","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Deposito bagagli-Facchinaggio-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Tv satellitare-Frigobar-Riscaldamento","camera-doppia-bagno (70-133)#camera-tripla-bagno (90-145)#mezza-pensione-bagno (55-104)#pasto-cena (-40)#pasto-colazione (-10)#pasto-degustazione (-30)#pasto-pranzo (-40)#pensione-completa-bagno (75-124)#supplemento-posto-letto-agg (10-25)","camera-doppia-bagno (0-0)#camera-tripla-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-colazione (-)#pasto-degustazione (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)#supplemento-posto-letto-agg (-)","","","","",""
"SOTTOVENTO ","Case e appartamenti","","3","3","16","VIA G. DI VAGNO","","70042","072028","Mola di Bari","BA","","","080 4741886","","","","","","","ua-bilocale-due-sett (1030-2640)#ua-bilocale-mese (1980-5000)#ua-bilocale-sett (550-1390)","ua-bilocale-due-sett (665-1480)#ua-bilocale-mese (1260-2810)#ua-bilocale-sett (350-780)","","","","",""
"RESIDENCE VALLEVERDE","Case e appartamenti","","13","13","42","LOCALITA' MONTELEONE","Cerasa","71019","071060","Vieste","FG","","","0884-707583","","www.residencevalleverde.it","residencevalleverde@tiscali.it","01/04/2015-30/09/2015","Reception 24h-Cassaforte / cassette di sicurezza-Bagno privato-Parco / Giardino","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Riscaldamento-Angolo cottura","asciugamani (-5)#lenzuola (-10)#supplemento-pulizia-bilocale (35-40)#supplemento-pulizia-monolocale (30-35)#supplemento-pulizia-plurilocale (35-40)#ua-bilocale-sett (450-900)#ua-monolocale-sett (400-750)#ua-plurilocale-sett (500-1000)","asciugamani (-)#lenzuola (-)#supplemento-pulizia-bilocale (-)#supplemento-pulizia-monolocale (-)#supplemento-pulizia-plurilocale (-)#ua-bilocale-sett (200-600)#ua-monolocale-sett (150-550)#ua-plurilocale-sett (230-700)","","","","",""
"BRASI GUEST HOUSE ","Case e appartamenti","","3","4","6","LARGO ELISABETTA","","73027","075047","Minervino di Lecce","LE","","","0836/818807","","www.brasiguesthouse.it","giovannamuscatello@tiscali.it","","","","ua-bilocale-sett (140-280)","ua-bilocale-sett (-)","","","","",""
"REGNO DI MARZAGAGLIA","Alloggi agrituristici","","8","4","8","C.DA MARZAGAGLIA","","70023","072021","Gioia del Colle","BA","40.778007","16.87710500000003","080 3499326","","www.regnodimarzagaglia.it","info@regnodimarzagaglia.it","01/01/2015-31/12/2015","Ristorante-Bar-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Insonorizzazione-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (60-80)#mezza-pensione-bagno (50-70)#pasto-cena (-40)#pasto-pranzo (-40)#pensione-completa-bagno (80-100)#piazzola (10-15)","camera-doppia-bagno (50-70)#mezza-pensione-bagno (40-60)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (70-90)#piazzola (0-0)","","","","",""
"CAMPO FREDDO","Campeggi","3 stelle","130","48","400","SS.16 ","","70054","072022","Giovinazzo","BA","41.17968661342833","16.690120697021484","+39 080 3942112","","www.campofreddo.it","torraco@libero.it","","Bar-Punto ristoro-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Nessuno","adulti (6-6)#piazzola-prezzi (8-11)#supplemento-bus (20-20)#supplemento-bus-rimorchio (25-25)#supplemento-seconda-auto (5-5)#supplemento-seconda-moto (3-3)","adulti (-)#piazzola-prezzi (-)#supplemento-bus (0-0)#supplemento-bus-rimorchio (0-0)#supplemento-seconda-auto (0-0)#supplemento-seconda-moto (0-0)","","","","",""
"SELVA REALE","Alloggi agrituristici","","6","2","9","S.P. 138","SELVA REALE","70037","072038","Ruvo di Puglia","BA","","","080 3628693","0883551013","www.selvareale.it","info@selvareale.it","01/01/2015-31/12/2015","","","attivita-ricreativa (-7)#camera-doppia (85-85)#camera-tripla (85-85)#pasto-cena (-40)#pasto-colazione (-5)#pasto-degustazione (-10)#pasto-pranzo (-40)","attivita-ricreativa (-)#camera-doppia (85-85)#camera-tripla (85-85)#pasto-cena (-)#pasto-colazione (-)#pasto-degustazione (-)#pasto-pranzo (-)","","","","",""
"TORRE DEL MONTE","Alloggi agrituristici","","7","5","16","S.P. RUVO ALTAMURA","","70037","072038","Ruvo di Puglia","BA","","","080 3601996","","","","","","","camera-doppia-bagno (60-70)#camera-singola (-35)#camera-singola-bagno (40-)#mezza-pensione (-40)#mezza-pensione-bagno (40-50)#pasto-cena (18-18)#pasto-pranzo (18-18)#pensione-completa (-45)#pensione-completa-bagno (45-55)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola (-)#camera-singola-bagno (-)#mezza-pensione (-40)#mezza-pensione-bagno (-)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa (-)#pensione-completa-bagno (-)#servizio-colazione (-)","","","","",""
"VILLA VALERIA","Bed & breakfast","","5","5","10","VIA ZUCCARARO -TRAV. VIA GENTILE","","70100","072006","Bari","BA","","","080 5491663","","www.villa-valeria.it","info@villa-valeria.it","","","","camera-doppia-bagno (65-120)#camera-singola-bagno (55-75)#camera-tripla-bagno (90-140)","camera-doppia-bagno (-)#camera-singola-bagno (-)#camera-tripla-bagno (-)","","","","",""
